Distance_km,Avg_Speed_kmph,Number_of_Signals,Traffic_Level,Weather,Road_Type,Vehicle_Type,Day_of_Week,Time_of_Day,Travel_Time_Minutes
23.98,8.0,12,High,Foggy,City Road,Bus,Sunday,Night,201.5
13.97,18.7,10,Medium,Rainy,City Road,Car,Thursday,Night,48.7
27.94,48.7,11,High,Clear,Highway,Car,Friday,Evening,48.2
14.03,21.7,12,Medium,Rainy,City Road,Car,Wednesday,Afternoon,53.2
9.09,28.1,12,Low,Clear,City Road,Car,Sunday,Evening,23.0
13.34,8.0,10,High,Rainy,City Road,Bike,Monday,Evening,118.5
7.18,47.6,5,High,Rainy,Highway,Car,Tuesday,Night,21.7
7.39,25.6,6,High,Clear,Rural Road,Bike,Sunday,Morning,28.8
10.91,68.8,6,Low,Clear,Highway,Bike,Thursday,Morning,11.5
10.06,33.4,5,Medium,Rainy,Rural Road,Car,Tuesday,Morning,32.6
23.62,56.5,9,Medium,Clear,Highway,Car,Wednesday,Morning,32.7
10.83,32.5,3,High,Foggy,Highway,Bike,Tuesday,Evening,30.3
6.6,22.5,7,Medium,Rainy,City Road,Bus,Thursday,Morning,36.3
12.01,33.9,6,High,Rainy,Highway,Car,Tuesday,Morning,40.4
13.95,26.7,11,Medium,Clear,City Road,Truck,Wednesday,Afternoon,38.3
12.72,25.7,10,Low,Rainy,City Road,Bus,Sunday,Night,43.9
6.41,8.0,9,Medium,Stormy,City Road,Bike,Monday,Afternoon,65.3
25.01,55.7,10,Low,Clear,Rural Road,Car,Saturday,Afternoon,30.0
4.03,58.5,1,High,Clear,Highway,Bike,Monday,Afternoon,5.6
12.61,44.9,6,Medium,Clear,Rural Road,Bus,Thursday,Night,26.3
6.29,28.4,5,High,Clear,Rural Road,Car,Friday,Afternoon,22.6
20.46,30.8,8,Medium,Rainy,Rural Road,Truck,Sunday,Afternoon,57.6
15.11,11.4,12,High,Clear,City Road,Truck,Tuesday,Night,97.0
13.95,14.3,7,High,Rainy,Rural Road,Car,Monday,Afternoon,73.9
10.38,33.7,4,High,Clear,Rural Road,Bike,Saturday,Afternoon,25.5
23.83,59.0,10,Low,Clear,Rural Road,Bike,Sunday,Night,28.1
10.36,29.8,7,Medium,Clear,City Road,Bus,Thursday,Afternoon,32.0
29.29,22.2,16,Low,Foggy,City Road,Bus,Monday,Evening,93.9
7.27,43.4,2,Low,Rainy,Rural Road,Car,Thursday,Evening,15.5
12.05,22.5,12,Medium,Clear,City Road,Car,Wednesday,Morning,39.2
17.69,21.0,12,Medium,Rainy,City Road,Car,Thursday,Morning,56.0
15.68,9.9,11,High,Clear,City Road,Truck,Monday,Night,114.7
11.54,38.3,12,Low,Clear,City Road,Car,Wednesday,Afternoon,26.0
4.34,27.7,6,Medium,Clear,City Road,Bus,Sunday,Afternoon,19.8
13.09,22.2,5,Medium,Stormy,Rural Road,Car,Monday,Evening,49.4
9.68,31.8,3,Low,Rainy,Rural Road,Car,Sunday,Morning,23.4
8.42,46.2,7,Low,Rainy,Rural Road,Truck,Thursday,Morning,23.6
18.26,32.8,15,Medium,Clear,City Road,Bike,Friday,Afternoon,39.3
3.83,48.8,5,Low,Clear,City Road,Car,Sunday,Night,9.2
11.77,13.8,9,Medium,Rainy,City Road,Car,Tuesday,Evening,58.8
2.32,19.2,7,Medium,Clear,City Road,Car,Sunday,Evening,14.2
15.74,8.0,11,High,Foggy,City Road,Car,Tuesday,Evening,136.7
18.36,67.2,7,Medium,Rainy,Highway,Car,Wednesday,Night,29.0
12.99,51.4,6,Low,Clear,Rural Road,Bike,Thursday,Night,14.0
9.17,29.0,5,High,Rainy,Highway,Car,Friday,Morning,32.1
23.64,8.0,13,High,Stormy,City Road,Car,Wednesday,Evening,199.3
24.51,23.3,15,Medium,Clear,City Road,Car,Saturday,Evening,71.9
14.35,31.7,9,Low,Rainy,City Road,Car,Monday,Morning,35.8
26.51,11.5,15,Medium,Foggy,City Road,Truck,Friday,Night,151.7
7.26,78.6,1,Low,Clear,Highway,Car,Friday,Afternoon,4.9
11.14,26.3,9,Low,Foggy,City Road,Car,Thursday,Night,37.1
2.87,81.6,1,Low,Clear,Highway,Bike,Friday,Morning,3.0
6.04,25.3,6,High,Rainy,Rural Road,Truck,Saturday,Evening,33.7
5.74,16.1,8,Medium,Rainy,City Road,Bus,Sunday,Evening,32.2
15.69,18.5,12,Medium,Rainy,City Road,Bus,Tuesday,Evening,68.3
6.28,11.4,8,High,Clear,City Road,Truck,Thursday,Morning,48.6
3.69,8.0,4,Medium,Rainy,City Road,Bike,Thursday,Morning,34.5
8.05,65.5,1,Medium,Clear,Highway,Truck,Wednesday,Evening,15.3
8.64,49.9,5,Low,Clear,Rural Road,Car,Sunday,Night,12.6
5.37,46.1,4,Low,Clear,Rural Road,Bus,Thursday,Evening,12.3
12.44,59.7,5,Medium,Rainy,Highway,Bus,Friday,Morning,24.1
13.71,30.4,10,Medium,Clear,City Road,Truck,Tuesday,Night,42.2
4.63,35.5,7,Medium,Clear,City Road,Car,Wednesday,Afternoon,11.3
17.02,8.0,11,High,Foggy,City Road,Bus,Friday,Morning,152.3
6.97,21.2,10,Medium,Clear,City Road,Car,Wednesday,Afternoon,32.8
8.56,26.1,6,Medium,Clear,Rural Road,Bike,Saturday,Morning,26.3
15.17,35.8,10,Medium,Clear,City Road,Car,Monday,Night,34.9
8.6,46.0,9,Low,Clear,City Road,Bike,Tuesday,Night,15.2
6.09,25.3,9,Low,Rainy,City Road,Bike,Wednesday,Morning,21.5
12.04,24.0,11,Medium,Clear,City Road,Car,Wednesday,Evening,35.8
20.59,51.5,12,Low,Clear,Rural Road,Car,Saturday,Morning,27.5
19.23,16.4,13,Medium,Stormy,City Road,Car,Sunday,Afternoon,91.1
8.15,8.0,11,High,Foggy,City Road,Bike,Thursday,Morning,80.5
6.69,28.8,7,Low,Rainy,City Road,Bike,Thursday,Evening,21.2
